"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
1,"Maria Iriarte","MINSA","Maria","Iriarte","Coordinadora del programa de salud bucal","república dominicana","república dominicana","19:-70,666667'","Participar en el taller de desarrollo y adaptación de guías de práctica clínica o protocolo clínico de atención utilizando el sistema GRADE","10/19/2015",2015,"10/23/2015",,"Cubierto Por Ops/oms",420,,"detalle","Si"
2,"Zereth Torres","MINSA","Zereth","Torres","Consultora del ministerio de salud","el salvador","el salvador","13,833333:-88,916667'","Participar en la II Ronda de Unión Aduanera Centroamericana","10/18/2015",2015,"10/24/2015","460.53",,2100,,"detalle","Si"
3,"Raul Bravo","MINSA","Raul","Bravo","Coordinador de salud sexual y reproductiva","miami, florida","estados unidos de américa","39,828175:-98,5795'","Participar en la Capacitación de Muerte Materna","10/13/2015",2015,"10/16/2015",,"Cubierto Por Unfpa",405,,"detalle","Si"
4,"Lourdes López","MINSA","Lourdes","Lopez","Coordinadora tecnica nac. resscad","tegucigalpa, honduras","honduras","15:-86,5'","Participar en la XXXI Reunión del Sector Salud de Centroamerica y República Dominicana RESSCAD","10/14/2015",2015,"10/17/2015","462.97",,1050,,"detalle","Si"
5,"Humberto Olarte","MINSA","Humberto","Olarte","Funcionario del depto. de regulacion y vigilancia de tecnologia medica de la direccion general de salud publica","colombia","colombia","4:-72'","IV Reunión de las Autoridades Reguladoras para el Fortalecimiento de la Capacidad de los dispositivos médicos en la Región de las Américas","10/26/2015",2015,"10/30/2015",,"Cubierto Por Ops/oms",420,,"detalle","Si"
6,"Israel Cedeño","MINSA","Israel","Cedeño","Coordinacion de vigilancia epidemiologica internacional - rsi","costa rica","costa rica","10:-84'","Participar en la Reunión de la Comisión Técnica Sectorial Binacional en Salud (CTSB-S)","10/6/2015",2015,"10/10/2015",,"Cubierto Por El Instituto Conmemorativo Gorgas",420,,"detalle","Si"
7,"Eric Ulloa","MINSA","Eric","Ulloa","Secretario general","mexico","méxico","23:-102'","Participar en la Segunda Reunión de la Conferencia Regional sobre Población y Desarrollo de América Latina y el Caribe","10/5/2015",2015,"10/10/2015",,"Cubierto Por Unfpa",525,,"detalle","Si"
8,"Ixchel Carrasquilla","MINSA","Ixchel","Carrasquilla","Abogada de la direccion de farmacias y drogas","el salvador","el salvador","13,833333:-88,916667'","Participar en la Segunda Ronda de Unión Aduanera Centroamericana","10/18/2015",2015,"10/24/2015","460.53",,2100,,"detalle","Si"
9,"Arelis Quintero","MINSA","Arelis","Quintero","Abogada de la direccion de farmacias y drogas","el salvador","el salvador","13,833333:-88,916667'","Participar en la Segunda Ronda de Unión Aduanera Centroamericana","10/18/2015",2015,"10/24/2015","460.53",,2100,,"detalle","Si"
10,"Aracelis Arosemena","MINSA","Aracelis","Arosemena","Ing. agronoma, abogada","el salvador","el salvador","13,833333:-88,916667'","Participar en la Segunda Ronda de Unión Aduanera Centroamericana","10/18/2015",2015,"10/24/2015","460.53",,2100,,"detalle","Si"
