"ID","nombrecompleto","INSTITUCION","Pais","LatLong","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
941,"Aaron Gonzalez","Ministerio de la Presidencia","alemania","51,5:10,5'","1971.68",,2100,,"no",0
857,"Abdias Slatér","MEF","españa","40:-4'",,,2520,,"no",0
2683,"Abdiel Bethancourt","MITRADEL","honduras","15:-86,5'",,,1260,,"no",0
2733,"Abdiel Bethancourt","MITRADEL","suiza","47:8'",,,9600,,"no",0
942,"Abdiel Patiño","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",,,4500,,"no",0
943,"Abdiel Patiño","Ministerio de la Presidencia","uruguay","-33:-56'",,,2400,,"no",0
1548,"Abdul Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
1569,"Abdul Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
2003,"Abel Barrías","Ministerio del Ambiente","guatemala","15,5:-90,25'",,,630,,"no",0
1579,"Abelardo Muñoz","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",,"Convenio Marco",4500,,"no",0
944,"Abraham Bozo","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","608.79",,,,"no",0
2038,"Abraham Herrera","Ministerio del Ambiente","costa rica","10:-84'",,,1050,,"no",0
1739,"Abraham Herrera","Ministerio del Ambiente","ecuador","-2:-77,5'",700,,1400,,"no",0
1932,"Abraham Herrera","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",,,,,"no",0
1790,"Abraham Herrera","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",,,675,,"no",0
1998,"Abraham Herrera","Ministerio del Ambiente","guatemala","15,5:-90,25'",,,210,,"no",0
1713,"Abraham Herrera","Ministerio del Ambiente","honduras","15:-86,5'",,,315,,"no",0
1775,"Abraham Herrera","Ministerio del Ambiente","méxico","23:-102'",,,420,,"no",0
1853,"Abraham Herrera","Ministerio del Ambiente","méxico","23:-102'",,,420,,"no",0
2073,"Abraham Herrera","Ministerio del Ambiente","méxico","23:-102'",,,840,,"no",0
2024,"Abraham Herrera","Ministerio del Ambiente","méxico","23:-102'",,,1750,,"no",0
1869,"Abraham Herrera","Ministerio del Ambiente","nicaragua","13:-85'",,,420,,"no",0
1906,"Abraham Herrera","Ministerio del Ambiente","tailandia","15:100'",,,4200,,"no",0
905,"Adalina Campos","MEF","colombia","4:-72'",,,300,,"no",0
596,"Adalina Campos","MEF","costa rica","10:-84'","536.53",,350,,"no",0
2854,"Adalina Campos","MEF","costa rica","10:-84'","769.63",,700,,"informe",1
643,"Adalina Campos","MEF","el salvador","13,833333:-88,916667'",,,210,,"no",0
736,"Adalina Campos","MEF","paraguay","-22,993333:-57,996389'",,,315,,"no",0
946,"Adelizabeth Rodriguez","Ministerio de la Presidencia","francia","46:2'","1559.26",,7200,,"no",0
947,"Adelizabeth Rodriguez","Ministerio de la Presidencia","francia","46:2'","2116.92",,4200,,"no",0
945,"Adelizabeth Rodriguez","Ministerio de la Presidencia","singapur","1,366667:103,8'","3408.35",,6600,,"no",0
948,"Adolfo Martinez","Ministerio de la Presidencia",,,"698.68",,,,"no",0
398,"Adriana Chung","MINSA","costa rica","10:-84'",,,600,,"si",1
378,"Adriana Chung","MINSA","guatemala","15,5:-90,25'",,"Cubierto Por Unesco",300,,"si",1
2981,"Adriana Correa","MICI","alemania","51,5:10,5'","2541.64",,2400,,"no",0
1805,"Agustín Corrales","Ministerio del Ambiente","italia","42,833333:12,833333'",2500,,6000,,"no",0
66,"Agustin Ordoñez","MINSA","francia","46:2'",,"Cubierto Por En Banco De Desarrollo De America Latina",540,,"no",0
366,"Agustin Ordoñez","MINSA","japón","36:138'",,"Cubierto Por Jica",1950,,"si",1
2404,"Agustín Rodríguez","Ministerio del Ambiente","bolivia","-17:-65'",,,600,,"no",0
2158,"Agustín Rodríguez","Ministerio del Ambiente","costa rica","10:-84'",,,2835,,"no",0
2645,"Agustin Saldaña","MINSA","costa rica","10:-84'",,"Cubierto Por El Instituto Conmemorativo Gorgas",1050,,"no",0
717,"Aida Arias","MEF","austria","47,333333:13,333333'",,,1440,,"no",0
685,"Aida Arias","MEF","república dominicana","19:-70,666667'",,,315,,"no",0
182,"Aida Batista","MIDES","argentina","-34:-64'",1500,,900,,"pdf",1
166,"Aida Batista","MIDES","chile","-30:-71'",,"Cubiertos Por El Organismo Internacional",405,,"pdf",1
64,"Aída Martínez","ANTAI","chile","-30:-71'",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo",1
59,"Aída Martínez","ANTAI","colombia","4:-72'",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo",1
65,"Aída Martínez","ANTAI","colombia","4:-72'",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo",1
45,"Aída Martínez","ANTAI","paraguay","-22,993333:-57,996389'",,"Cubierto Por El Organismo Internacional",315,,"informe de misión oficial",1
2883,"Aixa Jaramillo","MEF","españa","40:-4'","1217.29",,4200,,"informe",1
412,"Alan Rivier","MINSA","austria","47,333333:13,333333'",,,1050,,"si",1
2822,"Alba Bravo","MOP","costa rica","10:-84'","501.09",,1600,,"detalle",1
136,"Alberto Alemán","MICI","colombia","4:-72'",,,800,,"pdf",1
143,"Alberto Alemán","MICI","estados unidos de américa","39,828175:-98,5795'","1040.66",,2000,,"pdf",1
93,"Alberto Alemán","MICI","holanda","52,5:5,75'","977.1",,3600,,"pdf",1
147,"Alberto Alemán","MICI","perú","-10:-76'","698.96",,1200,,"pdf",1
949,"Alberto Delgado","Ministerio de la Presidencia","holanda","52,5:5,75'","689.69",,3000,,"no",0
2686,"Alberto Lo Polito","MITRADEL","italia","42,833333:12,833333'",,,2520,,"no",0
266,"Alberto Lo Polito","MITRADEL","italia","42,833333:12,833333'","1462.25",,"4032.54",,"pdf",1
792,"Alberto Prestán","MEF","argentina","-34:-64'","1256.68",,2700,,"no",0
357,"Alberto Rangel","MINSA","vietnam","16,166667:107,833333'",,"Cubierto Por La Republica De Vietnam",2100,,"si",1
3107,"Aldacira Bradshaw","MINSA","el salvador","13,833333:-88,916667'",,"Cubierto Por Ops/oms",400,,"no",0
670,"Alejandra Pérez","MEF","italia","42,833333:12,833333'",,,4140,,"no",0
2748,"Alejandro Lasso","MITRADEL","corea del sur","37:127,5'",,,3400,,"no",0
298,"Alejandro Lasso","MITRADEL","corea del sur","37:127,5'",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf",1
953,"Alejandro Melo","Ministerio de la Presidencia","españa","40:-4'",,,720,,"no",0
1485,"Alejandro Melo","Ministerio de Seguridad Pública","israel","31,5:34,75'",,"Convenio Marco",2400,,"no",0
954,"Alejandro Melo","Ministerio de la Presidencia","méxico","23:-102'",952,,1750,,"no",0
2691,"Alejandro Mendoza","MITRADEL","suiza","47:8'",,,5400,,"no",0
951,"Alejandro Tuñon","Ministerio de la Presidencia","colombia","4:-72'",,,100,,"no",0
952,"Alejandro Tuñon","Ministerio de la Presidencia","holanda","52,5:5,75'","689.69",,3000,,"no",0
950,"Alejandro Tuñon","Ministerio de la Presidencia","perú","-10:-76'","822.64",,1200,,"no",0
847,"Alejandro Vernaza","MEF","chile","-30:-71'","1758.01",,5850,,"no",0
2211,"Alex Cruz","Ministerio del Ambiente","guatemala","15,5:-90,25'",,,1750,,"no",0
1651,"Alex De Gracia","Ministerio del Ambiente","brasil","-10:-55'",,,2835,,"no",0
1886,"Alex De Gracia","Ministerio del Ambiente","colombia","4:-72'",,,2835,,"no",0
2102,"Alex De Gracia","Ministerio del Ambiente","guatemala","15,5:-90,25'",,,630,,"no",0
957,"Alex Montenegro","Ministerio de la Presidencia","colombia","4:-72'","1142.1",,1000,,"no",0
955,"Alex Montenegro","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","829.1",,1125,,"no",0
956,"Alex Montenegro","Ministerio de la Presidencia","honduras","15:-86,5'","802.73",,1200,,"no",0
974,"Alex Perez","Ministerio de la Presidencia","alemania","51,5:10,5'","6027.16",,3000,,"no",0
973,"Alex Perez","Ministerio de la Presidencia","colombia","4:-72'","1785.04",,600,,"no",0
959,"Alex Perez","Ministerio de la Presidencia","cuba","22:-79,5'","1888.93",,1050,,"no",0
968,"Alex Perez","Ministerio de la Presidencia","cuba","22:-79,5'","2343.8",,2400,,"no",0
963,"Alex Perez","Ministerio de la Presidencia","ecuador","-2:-77,5'",,,200,,"no",0
964,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","1772.06",,1000,,"no",0
958,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","2113.86",,2475,,"no",0
966,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","2159.46",,5000,,"no",0
965,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","2252.56",,2000,,"no",0
972,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","2300.66",,2250,,"no",0
960,"Alex Perez","Ministerio de la Presidencia","francia","46:2'","2576.54",,2400,,"no",0
967,"Alex Perez","Ministerio de la Presidencia","japón","36:138'","24159.76",,4800,,"no",0
962,"Alex Perez","Ministerio de la Presidencia","méxico","23:-102'","1939.22",,700,,"no",0
971,"Alex Perez","Ministerio de la Presidencia","polonia","52:20'","4223.95",,600,,"no",0
969,"Alex Perez","Ministerio de la Presidencia","polonia","52:20'","7692.05",,7200,,"no",0
970,"Alex Perez","Ministerio de la Presidencia","república dominicana","19:-70,666667'","1994.8",,2000,,"no",0
961,"Alex Perez","Ministerio de la Presidencia","república dominicana","19:-70,666667'","2130.59",,875,,"no",0
519,"Alex Van Der Hans","AIG","estados unidos de américa","39,828175:-98,5795'",,"Cubierto Por El Funcionario",2000,,"no",0
1500,"Alex Villa","Ministerio de Seguridad Pública","costa rica","10:-84'",,"Auspiciado",400,,"no",0
1486,"Alex Villa","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",,"Convenio Marco",4500,,"no",0
1510,"Alex Villa","Ministerio de Seguridad Pública","nicaragua","13:-85'",,"Auspiciado",300,,"no",0
2716,"Alexa Espino","MITRADEL","colombia","4:-72'",,,1400,,"no",0
2708,"Alexa Espino","MITRADEL","costa rica","10:-84'",,,315,,"no",0
2767,"Alexa Espino","MITRADEL","costa rica","10:-84'",,,1820,,"no",0
318,"Alexa Espino","MITRADEL","costa rica","10:-84'","668.77",,1400,,"pdf",1
237,"Alexa Espino","MITRADEL","suiza","47:8'","1361.71",,7200,,"pdf",1
2295,"Alexander Montero","Ministerio del Ambiente","brasil","-10:-55'",,,810,,"no",0
1670,"Alexander Montero","Ministerio del Ambiente","costa rica","10:-84'",,,,,"no",0
2045,"Alexander Montero","Ministerio del Ambiente","costa rica","10:-84'",,,,,"no",0
2029,"Alexander Montero","Ministerio del Ambiente","guatemala","15,5:-90,25'",,,525,,"no",0
3028,"Alexander Santoya","MICI","corea del sur","37:127,5'","1577.52",,4800,,"no",0
116,"Alexander Santoya","MICI","corea del sur","37:127,5'","2945.48",,5400,,"pdf",1
3038,"Alexander Santoya","MICI","costa rica","10:-84'","205.79",,1600,,"no",0
3076,"Alexander Santoya","MICI","honduras","15:-86,5'","537.7",,2400,,"no",0
3053,"Alexander Santoya","MICI","honduras","15:-86,5'","673.7",,1200,,"no",0
3065,"Alexander Santoya","MICI","honduras","15:-86,5'","682.96",,1200,,"no",0
94,"Alexander Santoya","MICI","honduras","15:-86,5'","916.74",,2000,,"pdf",1
2987,"Alexander Santoya","MICI","nicaragua","13:-85'","385.54",,2000,,"no",0
134,"Alexander Santoya","MICI","nicaragua","13:-85'","463.57",,1600,,"pdf",1
158,"Alexander Santoya","MICI","nicaragua","13:-85'","710.06",,2000,,"pdf",1
1604,"Alexia Soto","Ministerio de Seguridad Pública","corea del sur","37:127,5'",,"Convenio Marco",9600,,"no",0
977,"Alexis Almanza","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","256.41",,1800,,"no",0
1545,"Alexis Almanza","Ministerio de Seguridad Pública","holanda","52,5:5,75'",,"Convenio Marco",3000,,"no",0
1564,"Alexis Almanza","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
975,"Alexis Bethancourt","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'","1467.16",,,,"no",0
982,"Alexis Bethancourt","Ministerio de la Presidencia","colombia","4:-72'",,,100,,"no",0
1484,"Alexis Bethancourt","Ministerio de Seguridad Pública","colombia","4:-72'",,"Convenio Marco",1000,,"no",0
983,"Alexis Bethancourt","Ministerio de la Presidencia","corea del norte","40:127'","3092.17",,5400,,"no",0
1477,"Alexis Bethancourt","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",,"Convenio Marco",1800,,"no",0
1481,"Alexis Bethancourt","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",,"Convenio Marco",3600,,"no",0
980,"Alexis Bethancourt","Ministerio de la Presidencia","francia","46:2'","1070.03",,4800,,"no",0
984,"Alexis Bethancourt","Ministerio de la Presidencia","francia","46:2'","1257.42",,4800,,"no",0
