"ID","nombrecompleto","INSTITUCION","Pais","LatLong","ano","CostoPasajes","CostoViaticos","informeNumber"
1,"Maria Iriarte","MINSA","república dominicana","19:-70,666667'",2015,,420,"Si"
2,"Zereth Torres","MINSA","el salvador","13,833333:-88,916667'",2015,"460.53",2100,"Si"
3,"Raul Bravo","MINSA","estados unidos de américa","39,828175:-98,5795'",2015,,405,"Si"
4,"Lourdes López","MINSA","honduras","15:-86,5'",2015,"462.97",1050,"Si"
5,"Humberto Olarte","MINSA","colombia","4:-72'",2015,,420,"Si"
6,"Israel Cedeño","MINSA","costa rica","10:-84'",2015,,420,"Si"
7,"Eric Ulloa","MINSA","méxico","23:-102'",2015,,525,"Si"
8,"Ixchel Carrasquilla","MINSA","el salvador","13,833333:-88,916667'",2015,"460.53",2100,"Si"
9,"Arelis Quintero","MINSA","el salvador","13,833333:-88,916667'",2015,"460.53",2100,"Si"
10,"Aracelis Arosemena","MINSA","el salvador","13,833333:-88,916667'",2015,"460.53",2100,"Si"
11,"Miguel Mayo","MINSA","cuba","22:-79,5'",2015,"2482.36",800,"Si"
12,"Marcos Young","MINSA","cuba","22:-79,5'",2015,"1399.15",800,"Si"
13,"Reina Roa","MINSA","suiza","47:8'",2015,,900,"Si"
14,"Mariela Zurita","MINSA","el salvador","13,833333:-88,916667'",2015,"460.53",2100,"Si"
15,"Raul Bravo","MINSA","méxico","23:-102'",2015,,1400,"Si"
16,"Cristina Gomez","MINSA","costa rica","10:-84'",2015,,420,"Si"
17,"Jenny Vergara","MINSA","españa","40:-4'",2015,,7200,"Si"
18,"Yamileth Garrido","MINSA","chile","-30:-71'",2015,,675,"Si"
19,"Daniel Cedeño","MINSA","méxico","23:-102'",2015,"461.05",2100,"Si"
20,"Eric Ulloa","MINSA","honduras","15:-86,5'",2015,"462.97",1050,"Si"
21,"Martin Alpirez","MINSA","honduras","15:-86,5'",2015,,1050,"Si"
22,"Ricardo Goti","MINSA","chile","-30:-71'",2015,,540,"Si"
23,"Gaspar Da Costa","MINSA","méxico","23:-102'",2015,,315,"Si"
24,"Guillermina Macleary","MINSA","costa rica","10:-84'",2015,,420,"Si"
25,"Luz Lasso","MINSA","argentina","-34:-64'",2015,1585,2250,"Si"
26,"Nurkia Arosemena","MINSA","argentina","-34:-64'",2015,1585,2250,"Si"
27,"Niurka Gonzalez","MINSA","emiratos arabes unidos","24:54'",2015,1800,,"Si"
28,"Cecilio Tejeira","MINSA","emiratos arabes unidos","24:54'",2015,1440,,"Si"
29,"Marta Lengua","MINSA","méxico","23:-102'",2015,1365,,"Si"
30,"Ana Saucedo","MINSA","méxico","23:-102'",2015,1365,,"Si"
31,"Ameth Cerceño","MINSA","austria","47,333333:13,333333'",2015,,720,"Si"
32,"Lilia Sanchez","MINSA","austria","47,333333:13,333333'",2015,,720,"Si"
33,"Lourdes Villareal De Loré","MIVIOT","guatemala","15,5:-90,25'",2015,,525,"No"
34,"Lourdes Villareal De Loré","MIVIOT","el salvador","13,833333:-88,916667'",2015,,525,"No"
35,"Antonio Lam","ANTAI","guatemala","15,5:-90,25'",2015,,420,"Si"
36,"Angélica Maytín","ANTAI","estados unidos de américa","39,828175:-98,5795'",2015,"2093.55",3000,"Si"
37,"Antonio Lam","ANTAI","estados unidos de américa","39,828175:-98,5795'",2015,"1146.9",2700,"Si"
38,"Angélica Maytín","ANTAI","francia","46:2'",2015,"4851.2",2400,"Si"
39,"Antonio Lam","ANTAI","francia","46:2'",2015,"1755.33",3000,"Si"
40,"Angélica Maytín","ANTAI","chile","-30:-71'",2015,"2306.7",2000,"Si"
41,"Angélica Maytín","ANTAI","china","35:105'",2015,"9286.7",4800,"Si"
42,"Antonio Lam","ANTAI","china","35:105'",2015,"3234.78",4800,"Si"
43,"Angélica Maytín","ANTAI","austria","47,333333:13,333333'",2015,"2946.51",4200,"Si"
44,"Antonio Lam","ANTAI","austria","47,333333:13,333333'",2015,"1185.54",4200,"Si"
45,"Aída Martínez","ANTAI","paraguay","-22,993333:-57,996389'",2015,,315,"Si"
46,"Angélica Maytín","ANTAI","austria","47,333333:13,333333'",2015,"2957.66",4200,"Si"
47,"Antonio Lam","ANTAI","austria","47,333333:13,333333'",2015,"1970.72",4200,"Si"
48,"Victor Diaz","ANTAI","chile","-30:-71'",2015,,810,"Si"
