institucion,costoPasajes,costoViaticos,cantidadViajes,TotalViaje,CostoPerViaje
AIG,32952,84420,55,117372,2134
ANTAI,72811,95645,31,168456,5434
MEF,371308,803700,443,1175008,2652
MICI,230670,398475,176,629145,3575
MIDES,29727,66530,56,96257,1719
Ministerio de la Presidencia,786530,963085,522,1749615,3352
Ministerio de Seguridad Pública,7104,325715,154,332819,2161
Ministerio del Ambiente,85396,1186130,917,1271526,1387
MINSA,112812,549980,539,662792,1230
MITRADEL,86771,604300,217,691072,3185
MIVIOT,6168,16100,12,22268,1856
MOP,38970,54900,50,93870,1877
